StationName,RouteNumbers,geometry
Шишкин лес,А1047; А512; А514; А874,POINT (37.19014328 55.41419523)
МЦК Деловой центр,АС43; АСТ2; АМ31; АМ32; АС344; АСТ1,POINT (37.53321878 55.747938)
Мост Багратион,АС43; АСТ2; АС344; АСТ1,POINT (37.5429387 55.74752899)
Мост Багратион,АС43; АСТ2; АС344; АСТ1,POINT (37.54344223 55.74740578)
"Минзаг (выс., пос.)",А871,POINT (37.32888132 55.44426478)
Богоявление,А1077; А1004,POINT (37.16599455 55.25178812)
Богоявление,А1077; А1004,POINT (37.16669883 55.25145172)
Сады,А1077; А1004,POINT (37.18052976 55.247036)
Сады,А1077; А1004,POINT (37.18188449 55.24645106)
Метро Лермонтовский просп. (западный вестибюль),А669; А177; А393к; А1217к; А463; А50к; А373к; А405к; А373; А352; А346; А323; А544к; А534к; А546к,POINT (37.85288999 55.70112661)
Метро Лермонтовский просп. (западный вестибюль),А669; А405к; А177; А1220к; А393к; А1217к; А463; А50к; А373к; А373; А352; А346; А323; А544к; А1074; А731; А534к; А546к,POINT (37.85201172 55.70086155)
Ул. Панфилова,А175,POINT (37.49405571 55.80874175)
Ф-ка Большевичка - Комсомольская пл.,А122; АААН15; АА; АН15,POINT (37.65237648 55.77310994)
Метро Красные ворота,А122; АААН15; АА; АН15,POINT (37.65090969 55.76955363)
Перовский пр.,А365; А340; А567,POINT (37.70590564 55.74387344)
"Перовский пр., 7",А365; А340; А567,POINT (37.70273769 55.74407501)
Метро Люблино,А518к; А1121; А658; А619,POINT (37.76139045 55.67469685)
Новороссийская ул.,А1228к; А518к; А658; А619,POINT (37.76107891 55.67123739)
"Ал. Жемчуговой, 5",А409; А208,POINT (37.82400841 55.73112552)
Вешняковская школа,А409; А208,POINT (37.82726448 55.73228488)
Метро Молодежная,А150; А135; А597; А464; А825; А300; А757; А732; А554; А794; А127,POINT (37.41606537 55.74069333)
Ольховская ул.,ТбТ,POINT (37.67128061 55.77557658)
Михалково,А621,POINT (37.52239701 55.83791628)
Коптевский рынок,А621,POINT (37.52044056 55.83412321)
Коптевский рынок,А621,POINT (37.52068199 55.83403761)
Михалково,А621,POINT (37.52298571 55.83857717)
Торговый комплекс Тройка,А440,POINT (37.66338502 55.78631623)
Нижн. Красносельская ул.,А440,POINT (37.66655596 55.77903335)
Большой Факельный пер.,А567,POINT (37.66318196 55.74260179)
"Смирновская ул., 25",А567; А365,POINT (37.71514134 55.73490535)
Подъёмный пер.,А365; А567,POINT (37.71041523 55.73628293)
Подъёмный пер.,А365; А567,POINT (37.71054552 55.73642502)
Ул. Кибальчича,АП12; А378,POINT (37.65428431 55.81581047)
Ул. Кибальчича,АП12; А378,POINT (37.65284952 55.81579298)
Больница,А496,POINT (37.66567803 55.83293273)
Больница,А496,POINT (37.66578244 55.83307405)
Городок Моссовета,А496,POINT (37.66742093 55.83608166)
Больница,А559; А571,POINT (37.52959115 55.89030243)
Платф. Лось,А547к; А375,POINT (37.71287141 55.87995098)
Платф. Лось,А547к; А375,POINT (37.71303658 55.88024325)
Палехская ул.,А375,POINT (37.71209088 55.87679553)
Госпиталь,А338,POINT (37.46421077 55.88082162)
Онежская ул. - Колледж,А139,POINT (37.52242738 55.84500189)
Завод Красная звезда,А139,POINT (37.52649055 55.84508841)
Ветлечебница,А139,POINT (37.52848409 55.84513077)
МЗТО (Московский Завод Торгового Оборудования),А139,POINT (37.534235 55.84528513)
МЗТО (Московский Завод Торгового Оборудования),А139,POINT (37.53393722 55.84537457)
Ветлечебница,А139,POINT (37.52913007 55.84525318)
Завод Красная звезда,А139,POINT (37.52606068 55.84518499)
"Енисейская ул., 30",А349; А649,POINT (37.66638665 55.87272154)
"Староватутинский проезд, 5",А349,POINT (37.67343181 55.87373826)
Янтарный пр.,А346,POINT (37.69366469 55.87323061)
"Норильская ул., 4",А346,POINT (37.69579639 55.8764414)
Платф. Останкино,А561; А311,POINT (37.60344277 55.81786196)
Оренбургская ул.,А602,POINT (37.86265395 55.71263992)
"Б. Косинская ул., 24",А602,POINT (37.85558553 55.71406806)
Метро Новогиреево,А1263к; А276,POINT (37.81735159 55.75278265)
Больница им. Плетнёва,А557,POINT (37.80613719 55.7992958)
Метро Люблино,А518к; А658; А619,POINT (37.76195917 55.67632054)
Васильцовский стан,А443,POINT (37.75094916 55.7153128)
"Волжский бульв., 44",А530; А551; А713,POINT (37.75185836 55.69972472)
Платф. Чухлинка,А334; А371,POINT (37.76413825 55.73257513)
Платф. Чухлинка,А334; А371,POINT (37.76431375 55.73244564)
"Волжский бульв., 44",А530; А551; А713,POINT (37.75094007 55.69912667)
"Волжский бульв., 50",А530; А551; А713,POINT (37.7525273 55.69659036)
"Ул. Летчика Грицевца, 4",А887; А579; А892; А870; А374; А128,POINT (37.30304386 55.62396776)
Мкр. Солнцево-Парк,А887; А579; А892; А870; А374; А128,POINT (37.31065347 55.62416674)
Ул. Летчика Ульянина,А887; А579; А892; А870; А374; А128,POINT (37.30770841 55.62566586)
Тихая ул.,А312,POINT (37.74914999 55.68506268)
Кубанская ул.,А312,POINT (37.7445161 55.68365809)
Ставропольская ул.,А312,POINT (37.7450773 55.68033836)
Краснодарская ул.,А312,POINT (37.74562063 55.67699742)
Детская поликлиника,А312,POINT (37.74611745 55.67407503)
Совхозная ул.,А312,POINT (37.74556341 55.67070253)
Детская поликлиника,А312,POINT (37.74662574 55.67300068)
Краснодарская ул.,А312,POINT (37.74581711 55.67767474)
Ставропольская ул.,А312,POINT (37.74538193 55.68024197)
Торговый центр,А315,POINT (37.60055889 55.68913211)
ДАС,А315,POINT (37.59535833 55.68906308)
Сормовский пр.,А491,POINT (37.80285254 55.70634359)
Сормовский пр.,А491,POINT (37.80303659 55.70643373)
Луховицкая ул.,А491,POINT (37.77153311 55.72457355)
Луховицкая ул.,А491,POINT (37.7710239 55.7247138)
Платф. Плющево,А491,POINT (37.77382446 55.72945059)
Платф. Плющево,А491,POINT (37.77361252 55.72947776)
Ферганская ул.,А491,POINT (37.80943128 55.70780047)
Детская школа искусств имени Балакирева,А580,POINT (37.82235989 55.70270325)
Квартал 137А,А580,POINT (37.81966963 55.70118246)
Самаркандский бульв.,А580,POINT (37.81141112 55.69676561)
Самаркандский бульв.,А580,POINT (37.81445074 55.69648943)
Квартал 137А,А580,POINT (37.82081568 55.69988653)
МЦК ЗИЛ,А47,POINT (37.6509703 55.6981595)
МЦК ЗИЛ,А47,POINT (37.65035 55.6981816)
Префектура САО,А319,POINT (37.56534185 55.81699963)
"Мосфильмовская ул., 74",А806; А394,POINT (37.50489618 55.70984985)
"Мосфильмовская ул., 74",А806; А394,POINT (37.50464942 55.70925831)
Налоговая инспекция,А806; А394,POINT (37.50099748 55.70766224)
Ул. Столетова,А806; А394,POINT (37.49602334 55.7048953)
ЖК Мосфильмовский,А806; А394,POINT (37.49430211 55.70240315)
Раменский бульв.,А806; А394,POINT (37.4980664 55.7002501)
"Винницкая ул., 6",А806; А394,POINT (37.49428224 55.69945917)
"Винницкая ул., 14",А806; А394,POINT (37.49126338 55.70201753)
ЖК Мосфильмовский,А806; А394,POINT (37.49511318 55.70397384)
Ул. Столетова,А806; А394,POINT (37.49940078 55.70633611)
Налоговая инспекция,А806; А394,POINT (37.50077165 55.70714999)
Поликлиника Газпром,А845; А325; А661,POINT (37.5044733 55.69649842)
Поликлиника Газпром,А325; А661,POINT (37.50465602 55.69706065)
Никулинский суд,А661,POINT (37.50892965 55.69437305)
Никулинский суд,А325; А661,POINT (37.50872881 55.69472381)
Улица Светланова,А661,POINT (37.51254684 55.69677124)
ТЦ Европарк,А358; А376,POINT (37.37888435 55.76683539)
Матвеевская ул.,А187; А688; А198; А329; А459; А519; А42; А77; АС17; А325; А11; А807; А236,POINT (37.4563113 55.70684579)
Мед. Университет,А361; А66,POINT (37.4913928 55.64502393)
"Ул. Летчика Грицевца, 6",А887; А579; А892; А870; А374; А128,POINT (37.30523046 55.6230836)
1-й Тушинский пр.,А432,POINT (37.42345333 55.83315779)
13-й мкр. Тушина,А432,POINT (37.41903615 55.8371624)
Трамвайное депо,А626; А654; А310; А782,POINT (37.38154478 55.79501804)
"Авиамоторная ул., 75",А440,POINT (37.7203099 55.73578467)
"Авиамоторная ул., 75",А440,POINT (37.72004199 55.73578515)
Загородное ш.,А317,POINT (37.60190198 55.69191474)
Онкологический диспансер,А317,POINT (37.59816584 55.69505474)
5-й Донской пр.,А317,POINT (37.59078984 55.70325231)
5-й Донской пр.,А317,POINT (37.59102926 55.70280382)
Онкологический диспансер,А317,POINT (37.59806592 55.69483526)
Энергетический пр.,А440,POINT (37.70984236 55.7588946)
Энергетический пр.,А440,POINT (37.71058141 55.75838122)
Ул. Лефортовский вал,А440,POINT (37.70322693 55.76128649)
Ул. Лефортовский вал,А440,POINT (37.70510876 55.76036673)
1-й Краснокурсантский пр.,А440,POINT (37.7000862 55.76400861)
1-й Краснокурсантский пр.,А440,POINT (37.69979559 55.76412636)
Госпитальная площадь,А440,POINT (37.69649677 55.76722003)
Госпитальная пл.,АО32; А440,POINT (37.69812258 55.76650655)
Учебно-лабораторный корпус МГТУ,А440,POINT (37.69111668 55.77025822)
Учебно-лабораторный корпус МГТУ,А440,POINT (37.69080393 55.77011797)
Госпитальный пер.,А440,POINT (37.68710278 55.77065765)
Лечебно-реабилитационный центр,А412,POINT (37.46718051 55.81969509)
Медицинский центр Гражданской авиации,А412,POINT (37.46179678 55.8252524)
Покровский берег,А412,POINT (37.47062009 55.83052144)
Медицинский центр Гражданской авиации,А412,POINT (37.46180261 55.82486645)
Чукотский пр.,А349,POINT (37.65248876 55.86924119)
Чичерина ул.,А349,POINT (37.66022539 55.86403514)
"Староватутинский проезд, 5",А349,POINT (37.67114219 55.87429611)
Метро Бабушкинская,А349,POINT (37.66467869 55.87042984)
9-й А мкр. Кожухова (выс.),А821; А808; АС16,POINT (37.89742123 55.72302078)
9-й А мкр. Кожухова (пос.),А821; А808; АС16,POINT (37.89675299 55.7228029)
"Лухмановская ул., 17",А821; А808; АС16,POINT (37.89991437 55.72150835)
"Ул. Речников, 14",А724,POINT (37.69340238 55.68430161)
"Ул. Речников, 14",А724,POINT (37.69396762 55.68474819)
Колледж связи,А724,POINT (37.69011192 55.67975332)
Колледж связи,А724,POINT (37.6908594 55.68040887)
Башни Око и Нева,АС43; АСТ2; АМ31; АМ32; АС344; АСТ1,POINT (37.53494094 55.75074053)
МЦК Соколиная Гора,А141; А86,POINT (37.74450544 55.77076081)
МЦК Угрешская,А736; А193,POINT (37.69601818 55.71612494)
МЦК Измайлово,А36; А131; А20; А7; А974; А211; А372,POINT (37.74576169 55.78851784)
МЦК Автозаводская,А299; А186; А142; А44; А193,POINT (37.66125549 55.70465878)
МЦК Хорошёво,А818; А39; А390; А294; А597; А345; АМ35; А155; А800; АТ65; А48; А391; А322; АТ21; АТ43; АТ86,POINT (37.50560824 55.77689415)
МЦК Хорошёво,А818; А39; А390; А294; А597; А345; АМ35; А155; А800; АТ65; А48; А391; А322; АТ21; АТ43; АТ86,POINT (37.50644498 55.77678255)
МЦК Окружная,А282; А677К; А154; АТ36,POINT (37.57126551 55.84850943)
МЦК Зорге,А39,POINT (37.50113925 55.78851988)
Ст. Шоссе Энтузиастов,Тм38; Тм12; Тм36; Тм37,POINT (37.74843478 55.75892135)
Ст. Шоссе Энтузиастов,Тм38; Тм12; Тм36; Тм37,POINT (37.74822061 55.75891686)
Метро Кутузовская,АН2; А474; АМ27; А157; АМ2; А116; АТ7; А840; А622; А266; АМ17; АТ34; АТ39; АТ39К; АТ7к,POINT (37.53526467 55.74042813)
Метро Кутузовская,АН2; А474; АМ27; А157; АМ2; А116; АТ7; А840; А622; А266; АМ17; АТ34; АТ39; АТ39К; АТ7к,POINT (37.53555256 55.74000812)
МЦК Балтийская,А570,POINT (37.49551844 55.82633732)
"Ул. Адм. Макарова, 17",А570,POINT (37.49393925 55.83003339)
"Ул. Адм. Макарова, 25",А570,POINT (37.49131441 55.83339457)
"Ул. Адм. Макарова, 25",А570,POINT (37.4908583611622 55.8343225182293)
Метро Водный Стадион,А437; А350; А440; А570,POINT (37.4874119 55.83825799)
Метро Водный Стадион,А440; А570,POINT (37.48780417 55.8381469)
МЦК Балтийская,А570,POINT (37.49469616 55.82559719)
"Пресненская набережная, 10",АС43; АСТ2; АМ31; АМ32; АС344; АСТ1,POINT (37.53652855 55.74606589)
Башни Око и Нева,АС43; АСТ2; АМ31; АМ32; АС344; АСТ1,POINT (37.53435018 55.75026894)
Троицкий многофункциональный центр,А17,POINT (37.32215017 55.49536307)
Метро Лубянка,АМ10; А38; АН12; А904; А101; АН1; АН6,POINT (37.62522564 55.75971881)
Элеваторная улица,А756; А182; А1130; А221; А701; АН13; А289,POINT (37.66805611 55.60369497)
Отдел социальной защиты,А301; А876; А398; А1001; А17,POINT (37.29654521 55.47590243)
"Загорьевский проезд, 15",А1130; А701,POINT (37.68071318 55.57733048)
"Загорьевский проезд, 15",А1130; А701,POINT (37.68213674 55.57719533)
МФЦ Бирюлёво Восточное,А1130; А701,POINT (37.67643534 55.57767993)
МФЦ Бирюлёво Восточное,А1130; А701,POINT (37.67644018 55.5772337)
Загорьевская ул.,А1130; А701,POINT (37.67671887 55.57931537)
Ягодная улица,А1130; А701,POINT (37.67677786 55.58000005)
Метро Китай-город,АН4; АН13; АК; АН5,POINT (37.63403586 55.75431525)
Метро Лубянка - Политехнический музей,АН2; АМ10; АМ27; А38; АН12; АМ3; А904; А101; АН1; А144; АМ9; АН9; АН11; АН6,POINT (37.62846828 55.75924994)
"Набережная Новикова-Прибоя, 10",А597,POINT (37.44829538 55.78390208)
"Набережная Новикова-Прибоя, 10",А597,POINT (37.44812122 55.78368224)
Набережная Новикова-Прибоя,А597,POINT (37.44838373 55.78887996)
Метро Новопеределкино,А343; А497; А507; А166; А5,POINT (37.35460262 55.63773732)
Кузнецкий Мост,А38; АН6,POINT (37.62025128 55.76196624)
Столешников пер.,А38; АН6,POINT (37.61775306 55.76238663)
Театральная пл.,А38; АН6,POINT (37.61966117 55.75939085)
Рахмановский пер.,А38; АН6,POINT (37.62017798 55.76494084)
Рахмановский пер.,А38; АН6,POINT (37.61769863 55.76491832)
МЦК Панфиловская,А175,POINT (37.49974364 55.79928085)
Поселок №3,А1026; А1033; А874,POINT (37.38839157 55.347344)
Поселок Курилово,А1026; А410; А874; А531,POINT (37.37567579 55.37292014)
МЦД Щербинка,А860; А525; А506; А501; А509; А509к; А898; А898К; А288,POINT (37.56097138 55.51008024)
МЦД Щербинка,А1255к; А860; А525; А506; А501; А509; А509к; А898; А898К; А288,POINT (37.56144479 55.51060764)
Гарнизон Остафьево,А1255к; А1045; А501; А509; А509к,POINT (37.53366219 55.50832971)
Гарнизон Остафьево,А1255к; А1045; А501; А509; А509к,POINT (37.53596743 55.50817347)
Аэропорт Остафьево,А1255к; А1045; А509; А509к; А802,POINT (37.5177512 55.50256446)
Аэропорт Остафьево,А1255к; А1045; А509; А509к; А802,POINT (37.51984408 55.50352479)
"Барышевская роща (выс., пос.)",А898К; А308; А802,POINT (37.53331467 55.50382145)
Музей-усадьба Остафьево,А1255к; А1045; А509; А509к; А802,POINT (37.5035402 55.49423697)
Музей-усадьба Остафьево,А1255к; А1045; А509; А509к; А898; А802,POINT (37.50452256 55.49311866)
Школа,А1045; А898,POINT (37.49856234 55.49339583)
Школа,А1045; А898,POINT (37.49944219 55.49340308)
Сады Прометей,А1045; А898,POINT (37.48565446 55.49503511)
Сады Прометей,А1045; А898,POINT (37.48477839 55.49590648)
"Пос. Остафьево (выс., пос.)",А1045; А898,POINT (37.48377884 55.49772738)
Пионерский лагерь,А1036; А629,POINT (37.11465839 55.32639838)
Юрьевка,А1036; А629,POINT (37.10047227 55.32568763)
Троица,А1036; А629,POINT (37.07852776 55.323192)
Свитино,А1036; А629,POINT (37.07096638 55.32110307)
Озерное,А1036; А629,POINT (37.05571699 55.31826937)
Сады,А1036; А629,POINT (37.02681286 55.31524103)
Пионерский лагерь,А1036; А629,POINT (37.11525639 55.32616442)
Юрьевка,А1036; А629,POINT (37.10114083 55.3257397)
Троица,А1036; А629,POINT (37.07891964 55.32324122)
Свитино,А1036; А629,POINT (37.07158544 55.3212277)
Озерное,А1036; А629,POINT (37.057555 55.31859402)
Почта,А584к; А687,POINT (37.39187144 55.81030977)
Метро Фонвизинская,А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58867695 55.82218226)
Метро Фонвизинская,А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58882720259748 55.82238053626731)
"Ул. Бориса Пастернака, 15",А507; А333; А166; А550,POINT (37.32536189 55.63902064)
"Ул. Корнея Чуковского, 5",А333,POINT (37.32504939 55.63782204)
Мкр. Переделкино Ближнее,А497; А333,POINT (37.32951922 55.63676704)
Гимназия № 1788,А507; А166; А550,POINT (37.32564518 55.63350894)
Детский сад,А507; А166; А550,POINT (37.31848628 55.63609004)
Николино,А313; А982; АС19,POINT (37.45929258 55.58541599)
Николин парк,А313; А982; АС19,POINT (37.45453845 55.58825753)
МЦК Крымская,А41; А121,POINT (37.60510131 55.69024931)
Пос. Зосимова Пустынь,А868,POINT (36.91432173 55.40672156)
Храм,А725; А405; АВч; А234,POINT (37.74397503 55.70906075)
Метро Китай-город,АМ5; А158,POINT (37.63259762 55.7531413)
Б. Каменный мост,А255,POINT (37.61270438 55.74754614)
КПП-3,А867; А1147,POINT (37.35283316 55.6864609)
Ул. Бориса Пастернака,А507; А333; А166; А550,POINT (37.3261392 55.64012816)
"Бачуринская ул., 22",АС19; А882,POINT (37.48547086 55.57399023)
Европейская долина,А1032; А874; А531,POINT (37.38930859 55.43007744)
Европейская долина,А874; А531,POINT (37.38872559 55.43002692)
Девятый арбитражный апелляционный суд,А466; А22; А319,POINT (37.56257867 55.80796613)
"Ул. Народного Ополчения, 21",АТ59; АСТ1,POINT (37.47763395 55.77722214)
МЦК Панфиловская,А39; А800; АТ61,POINT (37.49900845 55.7973922)
"Автомобильный проезд, 10",А386,POINT (37.7099335 55.72569085)
Сибирский пр.,А386,POINT (37.68016184 55.73257675)
Калитниковское кладб.,А386,POINT (37.6858855 55.73270998)
Скотопрогонная ул.,А386,POINT (37.69503028 55.7301954)
Скотопрогонная ул.,А386,POINT (37.69505366 55.73042439)
Автомобильный пр.,А386,POINT (37.70433167 55.73068787)
Автомобильный пр.,А386,POINT (37.70428264 55.73087932)
Метро Волгоградский проспект (запад. вестибюль),А386; АП46,POINT (37.68546779 55.725569)
Новокосино (пос.),АТ75,POINT (37.88559009 55.74284942)
13-й мкр. Тушина,А199; А399,POINT (37.41795203 55.83685804)
"Сторожевая ул, 20",А59; А730,POINT (37.71564783 55.76696823)
Ул. Ленина,А889,POINT (37.21525218 55.62099904)
Б. Академическая ул.,А72; А801; А87; А22; АО27,POINT (37.53743659 55.8367167)
Метро Пятницкое ш.,А846; А614,POINT (37.35621704 55.85731063)
Торговый центр,А1228к; А619,POINT (37.76039504 55.62274196)
Метро Саларьево (выс.),А483к; А569; А490; А309; А486; А876; А911; А600; А507; А446; А734; А863,POINT (37.42510527 55.6218244)
Метро Саларьево (пос.),А911,POINT (37.42491901 55.62156199)
Метро Саларьево (пос.),А600; А446,POINT (37.42535972 55.62190823)
Метро Саларьево (пос.),А507; А734,POINT (37.42558369 55.62208033)
6-й мкр. Жулебина (выс.),А51к; А315к; АМ89,POINT (37.85037139 55.68003088)
Метро Рязанский просп.,А133; А208,POINT (37.79536765 55.71706695)
Стоматологическая п-ка,А805; А279; А429; АМ27; А311к; АТ26,POINT (37.73756704 55.73079279)
Элеваторная ул.,А182; А221,POINT (37.66686739 55.6036341)
МЦД Бутово,А523; А293; А636,POINT (37.56980711 55.53962965)
8-й троллейбусный парк,А142; АП129; А929,POINT (37.61996263 55.67314908)
Киевское ш.,А1038; А868,POINT (36.92758784 55.47141451)
Киевское ш.,А1038; А868,POINT (36.92770988 55.47256644)
Кузнецово,А1038; А868,POINT (36.94014928 55.45374062)
Кузнецово,А1038; А868,POINT (36.94028378 55.45424044)
П/л Тимуровец,А1038; А868,POINT (36.94939137 55.44469611)
П/л Тимуровец,А1038; А868,POINT (36.95015672 55.44422383)
Пос. Мосрентген,А804; А1042; А504; А866; А485,POINT (37.47371979 55.62119814)
Ул. Героя России Соломатина,А504; А446; А485,POINT (37.47258349 55.61508264)
Ул. Героя России Соломатина,А504; А866; А446; А485,POINT (37.47471388 55.61516984)
Военно-музыкальное училище,А504; А866; А446; А485,POINT (37.46791988 55.61144124)
"Ул. Героя России Соломатина, 19",А504; А446; А485,POINT (37.4697618 55.61322522)
МФЦ Некрасовка,А1225к; А722; А855,POINT (37.93131581 55.70761371)
"Рождественская ул., 29",А1225к; А722; А855,POINT (37.92879189 55.70703133)
Бюро судебно-медицинской экспертизы,А839,POINT (37.63184382 55.63846763)
Метро Бутырская,А239; А19; А126; А12; АС532,POINT (37.60384025 55.81273036)
Метро Бутырская,А239; А19; А126; А12; АС532,POINT (37.6036226 55.81264718)
Метро Петровско-Разумовская,А466; А82,POINT (37.57251893 55.83277446)
Метро Стахановская,А725; А334,POINT (37.74882374 55.72717897)
Метро Стахановская,А725; А334,POINT (37.75249323 55.72748885)
Ташкентский пер.,А580,POINT (37.81816902 55.70837435)
"Улица Панфёрова, 4",А845; А111,POINT (37.54209048 55.68324262)
Платф. Кокошкино (выс.),А878; А950,POINT (37.17071233 55.59900705)
Платф. Кокошкино (пос.),А878; А950,POINT (37.16960497 55.59825396)
Метро Минская,А908; А187; А103; АП209; А464; А130; А260; А470,POINT (37.49787986 55.72322607)
Метро Минская,А908; А187; А103; АП209; А464; А130; А260; А470,POINT (37.49837584 55.72331808)
Метро Раменки,А806; А394,POINT (37.49898174289602 55.69828088700666)
Метро Раменки,А715; А661,POINT (37.4972556 55.6972947)
Метро Ломоносовский проспект,АМ17; А325,POINT (37.51226658539523 55.70477368581193)
Администрация,А1036; А629,POINT (37.15942959 55.31938074)
Поворот на Вороново,А629; А1004; А1028; А1077; А303; А874; А1050,POINT (37.202254326102384 55.30113370638054)
Метро Октябрьское поле,А39; А105; А26; А800; А300; А291; АТ61; А100; АТ19; АТ59,POINT (37.49282985016781 55.79283615865728)
ТРЦ Авиапарк,А318,POINT (37.53444248289875 55.7907768706245)
МЦК Зорге,А597; А318,POINT (37.5078249194404 55.78942828052936)
Метро Владыкино,АТ29; АТ3,POINT (37.59005931 55.84679085)
Технопарк,А819к; А867; АSk1; А1147,POINT (37.34849282 55.68996221)
Метро Пролетарская,А184,POINT (37.66325547656752 55.731408286002)
Ул. Сальвадора Альенде,А597,POINT (37.50413477930904 55.79518639618989)
Ул. Сальвадора Альенде,А597,POINT (37.504906965599744 55.79434194305299)
МЦК Зорге,А597,POINT (37.5079334259929 55.7887965511144)
Метро Печатники,А292; А736,POINT (37.72745991567342 55.69276694079172)
Метро Текстильщики (выс.),А530; А54; А623; А650,POINT (37.73105581 55.70723837)
Техническая остановка,АТ30,POINT (37.70962665811725 55.750403056555164)
Девятый арбитражный апелляционный суд,А801; А466; А22; А319,POINT (37.56156583364034 55.8076020847686)
Метро Добрынинская,АК; АБ,POINT (37.62496846 55.72959896)
Богатырский мост,А311; Тм4П; Тм11,POINT (37.68907251 55.8167224)
Ул. Вилиса Лациса,А896,POINT (37.407068 55.85913037)
Бассейн Лазурный,А896,POINT (37.41332088 55.86192393)
"Каширское ш., 140",А766; А907; А694; АТ71; А704к; А704; АН5; АТ67,POINT (37.72398649554975 55.59812144294138)
Метро Ломоносовский проспект,А845; А715; А325; А57; А661; АТ49,POINT (37.51623778 55.70668019)
Метро Ольховая,А521; А526; А303; А503; А398; А433; А991; А422,POINT (37.45321422 55.56997774)
Метро Ольховая,А521; А526; А303; А503; А508; А398; А433; А991; А422; А976,POINT (37.45117348 55.56925144)
Калужское ш.,А521; А526; А303; А508; А422; А976; А433,POINT (37.44581322 55.56309194)
Калужское ш.,А521; А526; А303; А508; А422; А976,POINT (37.44655869 55.56283194)
Сосенки,А521; А526; А303; А508; А422; А976,POINT (37.44340142135709 55.56010487433871)
Сосенки,А521; А526; А303; А503; А508; А398; А433; А991; А422; А976,POINT (37.44234828 55.56012414)
24-й км,А526,POINT (37.46296569 55.57727794)
24-й км,А503; А398; А433; А991,POINT (37.46310731 55.57785288)
24-й км,А503; А398; А433; А991,POINT (37.46295175 55.57842364)
24-й км,А526; А508; А976,POINT (37.4615098 55.57769371)
Поворот на с/х Воскресенское,А521; А526; А303; А508; А422; А976,POINT (37.44027888 55.55564734)
Поворот на с/х Воскресенское,А521; А526; А303; А508; А422; А976; А433,POINT (37.43946288 55.55584134)
Ул. Акад. Опарина,А718; А273; А945,POINT (37.50291730052013 55.645584133704816)
Ул. Акад. Опарина,А718; А145,POINT (37.50242329 55.64496292)
Метро Котельники,А1266к; А144к; А517к; А979; АМ89; А558к,POINT (37.85581108 55.67683815)
ТЦ Метро,А858к; А626,POINT (37.38937669 55.7892621)
ТЦ Метро,А858к; А626; А654,POINT (37.3910958 55.78901947)
Ул. Марш. Рыбалко,А39; А26,POINT (37.48905249019227 55.79805579107356)
Женская консультация,А36; А634,POINT (37.73540459 55.78013634)
Женская консультация,А36; А634,POINT (37.73732099 55.78034704)
Метро Сухаревская,АМ2; АМ9; АН9,POINT (37.63229604 55.7721555)
Сретенские Ворота,АМ2; АМ9; АН9,POINT (37.631238330627305 55.766576738325234)
"Авангардная ул., 3",А70; А500; А621,POINT (37.49172172170267 55.8432644524331)
"Авангардная ул., 3",А70; А621; А500,POINT (37.491816256673694 55.84277686020177)
"Метро Добрынинская (выс., пос.)",А907; А41; А700; АТ71,POINT (37.62428644 55.72911193)
Метро Серпуховская,А41; А700; АТ71,POINT (37.6247771727536 55.728074427825135)
Ул. Булата Окуджавы,А507; А166; А550,POINT (37.32071689 55.63306514)
Ф-ка им. 1 Мая,А864; А1255к; А1045; А509; А898; А802,POINT (37.50433506 55.48966726)
Белорусский вокзал,Тм7; Тм9,POINT (37.58343515539373 55.776346430947385)
Метро Сокольники,А122; А40; А140; А75,POINT (37.67779728674496 55.7920580656116)
Метро Сокольники,А122; А40; А140; А75,POINT (37.6773592751688 55.79178132771948)
"Метро Орехово (к/ст, выс.)",А717; А151К; А758; А709; А151к,POINT (37.69467883 55.61443916)
"Ташкентский пер., 3",А143; А731; А208,POINT (37.82127629 55.70591362)
"Ташкентский пер., 3",А731,POINT (37.82089692 55.70599904)
Варварка,АМ5; А158,POINT (37.62753849290275 55.75278337428162)
Белорусский вокзал,А27; А905; А456; А84; АН12; А904К; А904; А101; АМ1; А345; АН1; АТ70; АТ82,POINT (37.58463229 55.77647154)
Белорусский вокзал,А27; А905; А456; А84; А904К; А345; АТ70; АТ82,POINT (37.58447653366148 55.775993495433966)
Белорусский вокзал,АН12; АТ78; А904; А101; АМ1; АН1; АМ32; АС532; АТ54; АТ56,POINT (37.58488449 55.77670694)
Белорусский вокзал,А12; АМ32; АТ18; АТ54,POINT (37.58223268 55.77708064)
Восточный вокзал,А1251к; А716; А52; А449; АТ41; А974; А34; А34К; А230; А171; АТ32; АТ83,POINT (37.75179502 55.80215421)
Лесная поляна,А1004; А1028; А303; А503; А1050,POINT (37.06955045282617 55.24914360769522)
Лесная поляна,А1004; А1028; А303; А503; А1050,POINT (37.07062309383841 55.249291501275934)
2-я ул. Бебеля,А82,POINT (37.571107527313714 55.79751935616159)
2-я ул. Бебеля,А82,POINT (37.57208688 55.79746884)
Мкр. Молодёжный,А303; А503; А508; А874,POINT (37.16462303938087 55.32786219246672)
Мкр. Молодёжный,А303; А503; А508; А874,POINT (37.16381799 55.32735168)
Метро Кропоткинская,А15; АА,POINT (37.60111101283476 55.7447565593231)
