StationName,RouteNumbers,geometry
Бескудниковский пер.,АМ10; А114; А167; А154,POINT (37.56012464 55.86490713)
Рогачевский пер.,АМ10; А114; А167; А154,POINT (37.55664809 55.86932066)
Школа № 656,АМ10; А114; А167; А154,POINT (37.55392499 55.8726825)
Аптека,АМ10; А114; А167; А154,POINT (37.5508956 55.87378923)
Бескудниково,АМ10; А114; А206; А167; А154,POINT (37.5464019242 55.873837739)
Муз. школа,АМ10; А114; А206; А167; А154,POINT (37.54269997 55.87363021)
Ин-т Микрохирургии глаза,АМ10; А114; А206; А167; А154,POINT (37.53715086 55.87348554)
Коровинское ш.,А799; А656; А673; А200; А270; А499,POINT (37.51779428 55.88348784)
Кронштадтский бульв.,А65; А123; А698; А72; А139; А594; А65К; А565,POINT (37.49676253 55.84295524)
Гимназия № 1583,А65; А123; А72; А139; А65К; А565,POINT (37.50020429 55.84380494)
Нарвская ул. - Университет Гражданской Авиации,А123; А565,POINT (37.50222806 55.84379443)
Детский сад,А123; А565,POINT (37.50334068 55.84091104)
3-й Лихачевский пер.,А123; А22,POINT (37.52188032 55.84887376)
База механизации,А123; А22,POINT (37.52713334 55.85108758)
Лихоборская наб. - Хим-тех. з-д,А123; А22,POINT (37.5305915 55.8527395)
Автомоторная ул.,А123; А22,POINT (37.53651595 55.84925437)
Кадетский корпус полиции,А123; А87; А323,POINT (37.54363761 55.84249732)
"Митинская ул., 48",А876к; А1212к; А570к; А575; АС3; А846; АН12; А959; А451; А614; А741,POINT (37.35496588 55.84954574)
4-й Новомихалковский пр. - Поликлиника № 159,А123; А87; А323,POINT (37.54506468 55.84075235)
Кадетский корпус полиции,А123; А87; А323,POINT (37.54341964 55.84320609)
НАМИ,А123; А22,POINT (37.54100334 55.8464752)
Автомоторная ул.,А123; А22,POINT (37.53602663 55.84995017)
Лихоборская наб. - Хим-тех. з-д,А123; А22,POINT (37.53094503 55.85291772)
База механизации,А123; А22,POINT (37.5270668 55.85127231)
3-й Лихачевский пер.,А123; А90; А72; А139; А565; А801; А22; А621,POINT (37.52091766 55.84831504)
Диспансер,А123; А565,POINT (37.50566731 55.83733611)
Детский сад,А123; А565,POINT (37.50345789 55.84200552)
Гимназия № 1583,А65; А123; А698; А72; А139; А65К; А565; А594,POINT (37.49912551 55.84370335)
