NameOfStation,Line,IncomingPassengers,geometry
Китай-город,Калужско-Рижская линия,4385148,POINT (37.6316766 55.7573154)
Китай-город,Таганско-Краснопресненская линия,0,POINT (37.6316766 55.7573154)
Октябрьская,Калужско-Рижская линия,952925,POINT (37.611311 55.729349)
Октябрьская,Кольцевая линия,1816705,POINT (37.611311 55.729349)
Шаболовская,Калужско-Рижская линия,1974824,POINT (37.6081344 55.718765)
Ленинский проспект,Калужско-Рижская линия,2895262,POINT (37.587564 55.708543)
Академическая,Калужско-Рижская линия,2616881,POINT (37.5722186 55.6870202)
Профсоюзная,Калужско-Рижская линия,2464169,POINT (37.5618179 55.6772799)
Новые Черёмушки,Калужско-Рижская линия,2856113,POINT (37.555321 55.671235)
Калужская,Калужско-Рижская линия,2608294,POINT (37.5392381 55.6553856)
Беляево,Калужско-Рижская линия,2806758,POINT (37.525406 55.641896)
Коньково,Калужско-Рижская линия,2166145,POINT (37.5189922 55.6343754)
Тёплый стан,Калужско-Рижская линия,4734229,POINT (37.505166 55.619857)
Ясенево,Калужско-Рижская линия,2332207,POINT (37.5348837 55.6055443)
Новоясеневская,Калужско-Рижская линия,527195,POINT (37.553025 55.601448)
Краснопресненская,Кольцевая линия,1471339,POINT (37.5769305 55.760413)
Новослободская,Кольцевая линия,585379,POINT (37.601021 55.779503)
Проспект Мира,Кольцевая линия,1945041,POINT (37.633349 55.7819543)
Проспект Мира,Калужско-Рижская линия,1965594,POINT (37.633349 55.7819543)
Курская,Кольцевая линия,2966255,POINT (37.658992 55.758613)
Курская,Арбатско-Покровская линия,1626601,POINT (37.658992 55.758613)
Добрынинская,Кольцевая линия,1562674,POINT (37.6227295 55.7290528)
Селигерская,Люблинско-Дмитровская линия,3350022,POINT (37.548314 55.865397)
Верхние Лихоборы,Люблинско-Дмитровская линия,1025557,POINT (37.561126 55.854575)
Окружная,Люблинско-Дмитровская линия,470514,POINT (37.572741 55.848466)
Окружная,Московское центральное кольцо,1177873,POINT (37.572741 55.848466)
Петровско-Разумовская,Люблинско-Дмитровская линия,1728713,POINT (37.57345276 55.83326172)
Петровско-Разумовская,Серпуховско-Тимирязевская линия,0,POINT (37.57345276 55.83326172)
Фонвизинская,Люблинско-Дмитровская линия,1162868,POINT (37.58941 55.822225)
Бутырская,Люблинско-Дмитровская линия,1152953,POINT (37.601833 55.814106)
Марьина роща,Люблинско-Дмитровская линия,2272173,POINT (37.6168452 55.7935291)
Достоевская,Люблинско-Дмитровская линия,1002188,POINT (37.6141122 55.7816457)
Трубная,Люблинско-Дмитровская линия,1258917,POINT (37.6218566 55.7678427)
Сретенский бульвар,Люблинско-Дмитровская линия,674007,POINT (37.637075 55.766097)
Чкаловская,Люблинско-Дмитровская линия,3495147,POINT (37.660159 55.756228)
Римская,Люблинско-Дмитровская линия,1614308,POINT (37.681359 55.746441)
Крестьянская застава,Люблинско-Дмитровская линия,563949,POINT (37.6655383 55.7323251)
Дубровка,Люблинско-Дмитровская линия,1439508,POINT (37.6762283 55.7178288)
Дубровка,Московское центральное кольцо,729979,POINT (37.6762283 55.7178288)
Кожуховская,Люблинско-Дмитровская линия,1791734,POINT (37.685432 55.70614)
Печатники,Люблинско-Дмитровская линия,1678868,POINT (37.727827 55.692654)
Волжская,Люблинско-Дмитровская линия,1355918,POINT (37.7564272 55.6907047)
Люблино,Люблинско-Дмитровская линия,3643637,POINT (37.7610191 55.674484)
Братиславская,Люблинско-Дмитровская линия,3091459,POINT (37.7526435 55.660114)
Марьино,Люблинско-Дмитровская линия,2598424,POINT (37.743716 55.651296)
Борисово,Люблинско-Дмитровская линия,938895,POINT (37.7434206 55.6323743)
Шипиловская,Люблинско-Дмитровская линия,1133376,POINT (37.7439051 55.6221781)
Зябликово,Люблинско-Дмитровская линия,819985,POINT (37.745559 55.6134881)
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,15547,POINT (37.6449918 55.8294285)
Выставочный центр,Московская монорельсовая транспортная система,57630,POINT (37.6386606 55.8242068)
Телецентр,Московская монорельсовая транспортная система,22378,POINT (37.609212 55.8217898)
Улица Милашенкова,Московская монорельсовая транспортная система,17382,POINT (37.591282 55.821901)
Лихоборы,Московское центральное кольцо,914295,POINT (37.553611 55.846922)
Ростокино,Московское центральное кольцо,2430183,POINT (37.669025 55.839267)
Белокаменная,Московское центральное кольцо,82581,POINT (37.702533 55.829815)
Локомотив,Московское центральное кольцо,880232,POINT (37.745779 55.803199)
Измайлово,Московское центральное кольцо,732718,POINT (37.746192 55.788479)
Андроновка,Московское центральное кольцо,627561,POINT (37.736613 55.746438)
Новохохловская,Московское центральное кольцо,581772,POINT (37.717679 55.724616)
