address_new,quarters_count,geometry
"улица 800-летия Москвы 9, Москва, Россия, 127591",143,POINT (37.56284 55.88079)
"улица 800-летия Москвы 10, Москва, Россия, 127247",379,POINT (37.54167 55.87677)
"улица 800-летия Москвы 11, Москва, Россия, 127591",99,POINT (37.56454 55.88112)
"улица 800-летия Москвы 11 корп 1, Москва, Россия, 127591",97,POINT (37.56421 55.88156)
"улица 800-летия Москвы 11 корп 2, Москва, Россия, 127591",95,POINT (37.5639 55.88207)
"улица 800-летия Москвы 11 корп 3, Москва, Россия, 127591",96,POINT (37.56412 55.8826)
"улица 800-летия Москвы 11 корп 4, Москва, Россия, 127591",95,POINT (37.56439 55.88306)
"улица 800-летия Москвы 11 корп 5, Москва, Россия, 127591",93,POINT (37.5646 55.88353)
"улица 800-летия Москвы 11 корп 6, Москва, Россия, 127591",96,POINT (37.56482 55.88399)
"улица 800-летия Москвы 11 корп 7, Москва, Россия, 127591",215,POINT (37.56339 55.88417)
"улица 800-летия Москвы 11 корп 8, Москва, Россия, 127591",145,POINT (37.56241 55.88332)
"улица 800-летия Москвы 11 корп 10, Москва, Россия, 127591",98,POINT (37.56275 55.88267)
"улица 800-летия Москвы 12, Москва, Россия, 127247",260,POINT (37.54382 55.87715)
"улица 800-летия Москвы 14, Москва, Россия, 127247",265,POINT (37.54892 55.87809)
"улица 800-летия Москвы 16, Москва, Россия, 127247",387,POINT (37.55098 55.87838)
"улица 800-летия Москвы 16 корп 1, Москва, Россия, 127247",84,POINT (37.5516 55.87743)
"улица 800-летия Москвы 16 корп 2, Москва, Россия, 127247",96,POINT (37.55114 55.87778)
"улица 800-летия Москвы 18, Москва, Россия, 127247",132,POINT (37.55264 55.87895)
"улица 800-летия Москвы 20, Москва, Россия, 127247",385,POINT (37.55432 55.87896)
"улица 800-летия Москвы 22 корп 1, Москва, Россия, 127247",128,POINT (37.5558 55.87945)
"улица 800-летия Москвы 22 корп 2, Москва, Россия, 127247",128,POINT (37.55666 55.87925)
"улица 800-летия Москвы 24, Москва, Россия, 127237",129,POINT (37.55876 55.8794)
"улица 800-летия Москвы 26 корп 1, Москва, Россия, 127591",466,POINT (37.56113 55.87947)
"улица 800-летия Москвы 26 корп 2, Москва, Россия, 127591",271,POINT (37.55965 55.87861)
"улица 800-летия Москвы 30, Москва, Россия, 127237",270,POINT (37.56383 55.87932)
"улица 800-летия Москвы 32, Москва, Россия, 127237",260,POINT (37.56556 55.87941)
"улица 8-го Марта 2/10 корп 1, Москва, Россия, 127083",97,POINT (37.55761 55.79967)
"улица 8-го Марта 2/10 корп 2, Москва, Россия, 127083",98,POINT (37.55738 55.80003)
"улица 8-го Марта 2/10 корп 3, Москва, Россия, 127083",98,POINT (37.55853 55.8)
"улица 8-го Марта 6, Москва, Россия, 127083",113,POINT (37.55565 55.80131)
"улица 8-го Марта 7/5, Москва, Россия, 127083",179,POINT (37.55255 55.80212)
"улица 8-го Марта 8 корп 1, Москва, Россия, 125167",72,POINT (37.55451 55.80215)
"улица 8-го Марта 8 корп 2, Москва, Россия, 125167",98,POINT (37.55549 55.80242)
"улица 8-го Марта 9, Москва, Россия, 125167",173,POINT (37.55078 55.80267)
"улица 8-го Марта 11, Москва, Россия, 125167",179,POINT (37.5517 55.80289)
"улица 8-го Марта 13, Москва, Россия, 125167",179,POINT (37.55129 55.80393)
"улица 8-го Марта 15, Москва, Россия, 125319",131,POINT (37.54982 55.80505)
